"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251"
"1",148124.570674207,148989.921790236,147426.334371458,148364.7014256,144975.740315592,143868.82203506,143718.605293408,144193.828184255,122565.870421196,121164.620921338,121691.821204293,121369.020224966,131849.259921265,131941.602785805,133139.96809184,130132.67822224,130137.794689177,130202.581566534,117690.436062343,118142.983272215,117785.825412099,113877.954993927,130921.554898927,133339.571864001,132491.127816633,132865.3041661,136502.414782454,137418.862677519,135708.059582281,133214.23022181,133410.73499629,133034.431687022,135082.0983049,134834.591917225,135989.58584702,124220.335468488,120268.950906876,116273.905662639,117843.858332813,119704.021895037,120614.439193126,119409.247608246,121769.465982074,121435.138461204,120821.271414104,128908.540657701,129362.074036657,126607.302411424,126607.302411424,127281.764888232,126541.372467147,126698.885389194,128011.655751333,128411.200755629,123017.426718825,123513.59433078,122854.345740251,123360.438518285,128609.461781274,130115.5762582,131524.434221935,131665.502905074,139748.021844011,124420.123762467,135774.661551946,135821.193082971,142670.955285906,143570.317768219,141816.566861421,142316.033309463,143352.035500448,142605.092633015,145539.061377964,147288.175355561,140303.119163145,140276.125584307,137983.937176504,137932.228897757,137638.772390458,134225.261468972,138873.194775542,137503.627482944,137482.130556195,130858.135377412,131105.434987574,131654.318818962,129939.40889377,129539.368001244,128944.137371792,128044.547208687,118257.265319869,120851.213196182,123518.158813871,123554.071053438,124064.051093402,109453.296207229,108103.708404736,106733.424189474,106540.310610547,108063.766012123,107163.772321263,107230.066307579,107909.953766584,108524.60059043,129535.92744991,128867.591325706,129360.882477008,130438.481751662,129839.311004907,129245.919009642,124611.987096487,123327.579193569,122246.883459866,126190.291366999,125428.654070464,127534.291189028,126501.217201812,126939.695930845,124790.487218859,120005.024392094,121634.891725663,122443.857895052,122260.672152056,123039.572083993,121771.982632478,122930.264224156,119301.448773135,120286.640615254,123897.102333296,123325.280094771,121948.466969086,120509.760915928,119452.060160957,133598.828829995,133666.104308277,136157.493493069,136808.911254752,137403.090075839,136434.845518977,136499.32509145,134401.673313012,134333.54193775,133315.497921283,134239.139982159,136765.452076326,136293.808020146,130223.037502576,131172.383326821,132260.493860721,132003.564903844,131929.464305731,132798.148524981,131588.563323045,130840.669979479,129888.120019039,129680.216277262,130304.723347273,130574.882708053,113643.05579038,131700.691144197,131503.270978737,130597.444434935,131858.238630389,134004.94367694,132983.80120365,128629.714075182,130712.540044906,135615.039297554,131424.796303417,133860.241667848,144929.450228893,145853.933679687,147888.873906463,142225.290219184,137203.132762661,137493.152142617,142099.709779489,140046.649963649,133817.425279439,131484.322424783,130188.880285991,130679.422099037,128272.975188027,127266.903798364,125382.105568725,129129.506524449,129344.324294789,136300.635774979,136816.695992513,135473.408352992,132719.38791185,130913.959295561,154489.222805634,153497.934696916,155149.541003209,156096.847104797,156174.749202549,155127.677555926,141370.705742029,138616.097550907,139165.577347907,125483.922724173,125951.31842002,134839.972043384,139360.148219656,141771.61438701,154046.953592596,130541.140802146,129669.747927615,129862.294752373,132757.859266284,131348.436459006,133393.215610607,133189.25369177,135288.630893297,139828.046763173,140045.519737437,135639.268652854,134817.505261783,133683.65098885,132565.609489296,132279.382749384,131908.157963837,133927.304641744,150114.577482997,148144.427989135,150718.048993917,155293.986652813,158284.538499516,158839.493821582,209305.143460873,208509.967645665,182426.942786716,186009.893038464,182800.281949413,182976.444073017,184877.558398948,160341.456070815,156544.704884169,171835.373373153,171988.423131049,177462.469409157,179437.808006865,179959.999680778,186841.733441603,182305.755593708,177516.816749065,173500.046892937,171197.79935011,173195.863510593,162179.072395755
"2",183314.907724116,181905.382665199,181048.535059736,183144.581984571,179861.318035576,176788.594471819,175683.287416323,175529.31187333,174458.059594297,174830.517734632,173749.560201179,173626.391707644,171603.779376321,171440.778830603,165304.005971687,164377.301005258,164904.130375543,165448.871061794,164647.494813441,165818.842986304,166079.300275585,168124.497774953,167320.185268982,171254.769530862,171659.422142844,172944.812133822,172264.719641072,170592.127653702,168083.918983377,167206.152869904,168114.059807468,168199.366612963,170249.403564489,171628.619322713,173816.813547735,169961.06510338,169238.280095192,167491.715120219,169207.409588062,169237.966634956,167406.349267726,166758.649527946,172431.962008278,172310.900531746,171905.018214867,171128.681806259,171834.296048227,172316.582428399,172554.962352376,171285.092528772,170693.889339563,171170.235983157,175220.422094063,179483.528073486,179654.214337925,178450.162377567,175045.97362609,175086.810971794,177042.172448975,176980.264695799,178837.703146383,178849.554649738,178847.47686876,178082.96453745,174971.436209048,174924.724411676,174657.632868085,176180.877434223,174420.76876185,172171.824993175,173018.392347753,171169.009390362,170606.136428042,173402.228149964,172990.417824968,171099.138779398,169538.452366617,170891.433884512,170542.874210383,169953.009555148,167685.705798832,165945.714383613,161147.687474373,160851.105784103,159235.201204615,159651.857451546,158618.578090739,157023.892731324,158179.285145308,156765.442218019,155384.846499904,155190.600443303,156074.753704815,157111.518440817,157690.321709258,155667.782553508,155516.028766742,152275.53447834,151820.096216203,150766.887478802,152226.987243904,150438.672950446,151382.001382437,151758.96671962,153078.129421071,152497.076079128,154009.343654285,154671.315768495,153736.075808697,153724.498398119,156546.1164954,156674.522929476,157950.717310528,157563.037306865,157743.233282456,159173.004877577,158438.226558013,158049.580432484,158696.290353527,161636.230492569,164764.892902223,164809.311860109,164479.45150248,166226.143178385,164617.516572222,165423.107402223,161983.584803406,162498.68381943,162325.399977355,160699.681190988,160782.924252183,159546.825257201,157571.656000296,156669.244446696,155265.115949424,155902.269369628,157006.760266469,157653.388697546,156783.594499621,156625.687410258,153344.255875417,154750.83906154,154523.522447247,155504.731507069,154698.76317953,153718.460127899,154956.40902874,155169.827213332,156728.550768537,156102.357745989,154838.414958969,156288.947466966,153853.860484831,153788.988686837,151324.606297857,150148.419848141,149794.717040543,149812.078812921,147450.907545107,148255.124763779,148960.962533163,147620.718995505,148735.807620977,149719.91569274,147878.825665921,147352.517675143,149692.639977825,151376.854347763,147553.974593003,149871.694496617,150373.300821168,152447.721421787,155225.921245801,169992.441574181,163530.997385129,162173.187200449,161452.626200994,159757.21174956,158963.401019693,155071.493812097,154853.673230674,157038.571767931,155794.957956611,156259.697311837,153577.341552295,155704.390782634,156725.04426931,155646.261851918,155756.435627819,155591.329919705,153069.887810362,152548.909299498,151470.256488665,150696.685105125,150136.094348795,148599.457331582,149349.699192346,148239.724065444,149472.275180914,145066.816454559,147028.962656512,147998.802235622,147126.581218497,144970.289808469,147457.43756915,150999.940891274,148778.936497448,148773.371249163,148152.184591986,148574.950543686,153398.328067131,151481.447257238,152367.19170291,148887.893120743,150583.102471812,156077.17655603,156235.78078342,148729.343275876,148153.635866644,145287.840542825,145736.070637252,145431.491111737,144060.825327646,147135.27250644,147258.941120583,147118.057859751,148860.916066819,152335.015182217,154943.183216742,155162.506728433,153576.879233516,151974.911834202,153288.609910301,155206.793338662,159381.197547959,161075.851112367,161743.750350407,159550.956943808,159105.390061037,158329.752332401,168546.193566979,170782.38661076,171597.766930671,168507.001065231,172903.72526504,170923.90157198,164780.135114156,163246.582531053,162304.841747935,160467.547380581,153747.765889115
"3",182600.430967407,181319.706858081,180459.678285013,182300.789926005,179100.830423626,175788.160428828,174404.209021443,174348.576138261,173231.026889044,173580.665299525,172473.221521294,172204.08044932,170276.193618354,170115.804128142,163591.358638443,162890.003538152,163514.1392764,164124.471973526,163222.044772183,164284.858440407,164627.28557681,166688.795920231,165838.855801055,169938.062616393,170401.337267766,171547.791380502,170782.479999085,169004.357978837,166444.983899582,165754.618580749,166785.590442674,166821.01785187,168901.361920687,170215.267331021,172365.128318676,168702.408990029,167638.03550516,165692.506841933,167606.051994372,167935.478882758,166182.031805495,165592.749396106,171531.492321344,171569.651288881,170799.499681301,169747.787630806,170835.533784637,171394.513677064,171527.027818587,170348.644343612,169916.846172654,170349.605160033,174224.89204168,178462.963306491,178648.081026808,177523.032459287,174093.647350398,174060.322072584,176237.119642277,176079.196522624,178012.410443772,177871.060235989,177969.927056172,177226.549908368,174030.843151777,174171.816527842,173999.278742505,175680.960225208,173769.718542944,171541.427509847,172429.508512343,170332.427470055,169506.26091504,172124.785631203,171869.413030368,169794.48110364,168035.614653545,169459.503421831,169146.854299059,168271.068503585,165647.379727185,163831.041300998,159026.626581626,158997.803028403,157384.378992745,158075.177199038,156732.87512139,155299.817787162,156485.883884015,154938.787021405,153483.278595555,153168.60731131,154045.516512398,154722.783373212,155608.832826469,153737.072403303,153842.332628787,150606.09164553,150198.824724748,149145.034570751,150136.017406571,148570.018222737,149595.064188535,149857.316197609,151214.779918611,150701.832557526,152179.855383366,153213.217672096,152137.649266662,152152.700056801,154690.847023139,154696.075630945,155647.558264723,155110.932304596,155338.922532739,156178.078791463,155763.516044793,154956.517129562,155685.064299915,159087.381127321,162640.913293169,162598.890653859,162184.831870769,164176.970690703,162410.433042916,163454.653733552,160032.978398142,160359.756128981,160231.152012622,158384.625067821,157924.656345206,156610.275812924,154322.393353958,153749.670968594,152227.07913757,152548.85548897,153826.046583224,154906.419253684,154087.682875013,153656.537370414,149879.282987763,151373.085995986,151059.870644208,152258.150821753,151007.656793868,150325.21814759,151679.950719019,152359.055231785,154194.542037397,153730.225709324,152559.777587942,154457.316473983,151454.4126457,151392.561758146,149629.60513567,148523.335706393,148502.592272239,148591.944685299,146031.422294046,147141.7551221,147902.080818224,145565.020814405,147030.243088049,148651.707814589,146783.824222293,145627.585057276,148375.865134335,150400.986065681,145215.249774535,148344.175901776,149258.793355715,151469.448532879,154266.868702016,171401.870901221,162469.978556395,161617.771103365,160541.624233958,159055.097869691,157872.245487551,154097.995959259,153891.293232312,156031.689403878,154549.271172007,154836.351142816,151625.12401318,153859.927290615,155203.206010702,154180.454415186,154431.928049302,153974.78408572,150789.344227454,150327.858430108,149570.686713408,148342.217660092,148120.688290319,146525.603876593,147566.667872521,145782.843867523,146986.149870929,142091.754628127,144751.890967701,146024.412128833,145202.579630446,143209.154012744,146253.163132815,149941.626225254,147004.264860069,147222.956312234,146912.467129185,147528.344830999,152507.043559302,150576.083525858,151703.289602691,148143.373473689,150011.022447731,155670.560373085,156029.498234164,147984.676084479,147427.869158982,144293.395611677,144817.061669066,144692.518210213,143228.573998412,146507.258450385,146211.793933207,146048.239330011,147741.732562041,151215.479808435,154140.891767278,153762.891662407,151743.048315326,150186.009648317,151589.215297627,153448.74500102,157615.809140813,159544.476314157,158889.44247478,156028.898252091,153736.193543759,153368.36363781,163608.220427035,165586.972487685,166477.426776105,162636.224727067,168576.409158893,166493.372606091,161134.418199286,160230.597906555,159130.28163218,157686.645927966,151470.356108845
"4",147301.510854861,147448.449564017,145949.443630284,147291.996037461,145543.816163628,145148.869667919,144984.931955983,145701.597136718,144879.334966856,144334.648778722,143626.285372524,143715.492634964,143353.058334745,142765.435084321,144304.88144986,142160.571108917,141896.030281602,141399.855424954,140792.584730409,141841.625256922,141192.599092123,143001.59078855,141876.412046989,144739.965107587,144729.678640401,143864.127084546,143122.743380014,143387.105391694,141071.922697314,140506.918787801,139876.194949566,139212.79198752,141065.973547019,142560.431972825,143388.049676142,142012.466492799,141615.777825062,140538.806156304,143097.138739851,144928.646428972,143772.927555232,143091.155486046,147034.104377297,145693.66143895,145362.188532556,143874.69320172,144323.839220533,144925.003996162,144925.003996162,145680.771319501,145803.917702406,144835.379738092,147786.229963074,149385.436050904,149476.841073658,149008.551180837,147644.788803494,147774.208736027,149471.67495173,149224.414514509,150444.854833472,150024.432565732,149858.519326831,149352.070583042,147623.48264065,148196.478172515,149477.212974015,151130.412126322,148946.306777369,148670.914268012,149114.47261472,148448.286684078,148398.825657153,149165.608698246,148867.642845882,148860.537507772,148186.28348549,148561.399239899,148831.459233627,148296.505475619,147152.857471576,145254.768038679,145684.353970119,145417.730922139,145308.503214635,145723.215609414,146233.140097866,146304.430377901,147228.257537505,146166.969355027,144985.519080663,145195.311725439,144888.185104653,145041.91156839,146064.321903315,145177.947781887,145496.567981194,144586.767952006,144523.918902889,143522.129038791,143195.751330974,142590.701738351,143858.180640419,144412.066904586,146118.674930488,145437.889935505,145142.880263334,145847.113622028,144980.128640459,146265.903985204,146783.468628789,146234.192337574,146100.251696464,145885.129524558,145796.998499277,147034.325846987,145292.896922902,145580.853293203,146275.543701151,147880.934728716,150617.179833188,150370.576158303,150502.188440648,151541.103206751,150100.363630533,151095.783890364,146830.052716068,148032.754584634,147400.834615146,146484.327096405,146273.156289601,143312.484368147,142000.875560777,141418.913894104,140274.569915802,140353.206001217,140916.477611439,141246.985773409,141120.132204438,141524.5158618,139053.792916475,140119.019888861,140081.094090463,140786.50340621,140785.14534503,139309.260644349,141501.320980753,142259.649739898,142774.561003114,142671.143044059,142598.93504865,143959.669310475,142353.855148578,141879.316072167,140685.71987497,141270.263354894,142676.395596965,143279.767633734,142197.123278386,143682.778317085,144894.711921193,144407.074667207,145484.457084624,147717.94149002,146562.619793253,146757.225085942,149424.370219203,151416.983751223,148435.704626312,151597.04517974,152794.382609868,154419.894056049,157024.515580198,161976.646411617,156325.168586974,157296.827792659,155198.843826694,152885.487156242,152854.37972715,151244.816085887,151375.912446538,151608.609265167,149433.36787903,149117.732480755,145662.266565845,146611.121904019,147803.872589314,146327.819335503,146662.293998285,146513.005948226,144152.879647638,143140.558100289,143189.37169318,142573.582006757,142646.328789599,142937.729083078,142636.816082978,141993.508659323,143057.772837472,140904.722559407,141290.681261946,140920.686464281,141521.750501603,141510.588453695,145398.323636678,147292.666419561,145693.984205183,145051.894013242,144217.068373773,144593.209792683,147236.983332716,145997.453133548,147525.21747357,148010.336554825,148122.879460397,152258.651667902,152713.730950284,147470.707687957,146217.795229375,145233.545888493,144403.281759119,144345.73136762,144002.340811083,146255.772401657,145988.239336392,145649.179545819,146629.666020987,150034.392751759,152872.607282437,153474.709885795,151423.051404393,150330.471231035,153651.153227464,155771.399487012,158951.881178345,158660.09571077,160312.014117395,157992.670335761,156249.506838571,154437.063704989,154471.423786912,157001.898166902,158744.698373686,157656.511171027,160489.457845465,157988.278816191,156686.47954444,151455.668383733,150356.174954725,149226.397440837,141046.972361037
