"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251"
"1",154803.830775993,154008.234349311,152277.323518818,152673.299446123,149265.439327809,147068.767142172,146908.546997683,147337.046750793,125122.949855642,122907.676177915,123155.088298661,122777.687835348,131860.151718602,131662.316053436,133101.654076907,130466.175034656,130414.601931203,130513.04893255,118159.746145844,118818.859794441,118413.02592965,114516.395375793,132498.502374833,134964.205170643,134298.397609743,134411.857636651,138254.602392782,139147.669711467,137432.189127135,135625.942496292,136080.950624625,135748.957906898,138045.151810167,137518.712254865,138521.987208799,130157.447720621,126331.271284103,122494.71574456,124319.034676722,127713.274503799,125588.523802135,124406.673311462,126881.057566011,126198.191550052,125411.861905407,132987.731304511,133492.610827508,127629.875042399,127629.875042399,125554.823230874,124794.459707209,124933.283424358,125816.136829162,126048.3202419,123199.546683215,123795.445910708,123222.759461276,123705.326592244,128645.251483365,129977.790155393,131292.438221536,131475.702534428,142583.653102809,128592.486865288,136298.231326049,137725.659396951,143624.388566837,144439.361811299,143075.81758946,143664.762471926,144565.357848285,144354.726352314,146881.844226393,149067.869968204,139943.539308781,139866.111560098,137703.71201893,137915.609474479,136708.012830034,133413.262372567,138293.279479134,136626.727563603,136931.527186773,130155.016939627,130489.511257338,130694.713528444,130100.624900362,129381.868315818,128995.889372045,128230.516617428,118324.294199966,119904.772629298,122395.141345992,122986.419091542,123638.052275306,109536.724588527,107760.285060801,106372.927454898,106490.742530463,107879.681203048,107036.450936467,107155.86125894,107826.403428979,108442.381732745,130324.304842012,129867.272329576,131066.456043986,132503.355435171,131923.231324696,130403.433394621,126681.434445372,125821.618695395,124056.836604253,128378.41576963,128021.698123963,129312.729787726,128088.07990124,130515.157515023,128475.937533964,123532.692337921,124892.984908842,125591.40820085,124962.426434657,125843.656278814,125123.893495661,126364.838036178,123006.839685264,124226.437369364,127623.128079348,126797.571507796,125431.684292454,123766.946185323,122971.691716526,136259.985492604,136136.191837187,137202.111878818,138378.658250082,138688.131809969,137826.730403634,137726.975670992,135016.572136387,134855.382870297,133952.817554192,134827.390941661,137619.89075787,137580.388451747,132956.200836024,133880.761514131,135039.160415412,134872.217231316,135825.682543463,136754.311655538,135589.454857387,134796.037928168,134072.447724875,133669.176614838,134331.612309288,134651.169777647,119260.997437867,136788.143495216,136859.472885687,135984.151688896,137316.912766093,140539.238773528,139762.928994207,135377.380577892,137721.305747484,143442.736286129,139829.0782188,142223.372263117,150487.218034259,150269.779686204,152202.144376746,147117.017783645,141971.067066492,141555.070659281,146991.001839379,144963.683256112,137602.521299355,135096.372572127,133343.543821312,134023.929078355,131249.079717059,130299.982106966,128527.891533035,132295.812969033,132653.669764014,137817.500934151,138234.974239446,137101.448759545,133859.455666458,132470.056172649,156098.358207565,155484.062706343,156691.608648338,157386.169272392,156327.257990147,155253.900180586,144082.244513208,141190.815634125,141974.777337536,128131.346320768,128674.264833436,135484.780305753,140032.102464397,143111.29299842,152495.115056859,133669.727875812,132048.316993314,132696.143549122,135813.218050068,134562.63659817,137053.015998861,137063.662788636,140469.045280822,145456.950034586,145782.497710404,140180.322212199,139212.461010557,138218.277613905,138278.482221648,138081.308359984,138010.568583604,139361.456846753,154242.125808908,151863.857376534,155034.534969862,160100.623506701,162252.067520643,162671.316355252,198393.667520101,197389.377221818,180062.750279491,181565.870895994,177944.718472838,177489.968700646,179519.023977419,158905.790708236,157469.591918988,169623.405248223,168580.370574809,173125.719056476,175621.097640411,175731.554104362,182692.164147723,177339.822103274,173177.339058749,169403.365165193,167695.305565395,168701.031732978,157581.403004069
"2",184309.729911798,182449.846398615,181540.28157825,182996.467474342,179367.395638495,176324.956126415,174987.408245327,174547.516957844,173680.954444186,173792.112560671,173299.676539466,173256.268480809,171582.951681787,171117.834123687,165701.760244227,164364.800989741,164954.773787778,165779.115832191,164842.48894484,165619.521339727,166256.958537078,168375.863313478,167514.628398917,171756.094738877,172253.308310357,174359.35892816,173684.745973312,171891.855180013,169212.190889721,168852.663385362,170241.24328169,170495.107337995,172268.77323189,173042.888244558,174982.88545157,170804.793404882,170404.319036544,167729.866021515,169112.399213889,169414.755194876,167636.208063818,166986.254037457,172702.391473901,170813.285191864,170310.310173945,169514.511516823,170721.519209263,171308.628560746,171575.992611986,169390.896856994,168972.055325366,169700.039264957,173091.09626566,177335.010353795,177908.687109532,177057.849046516,173256.646741036,172973.284817312,173725.198387611,174134.521124107,175656.274703363,176246.237663334,176148.444705109,175710.83331574,172438.443292283,172235.879827293,171724.917488198,173279.491608799,173405.03495561,171745.254208546,172367.796406863,171710.601652104,171114.582663504,173981.207384941,173579.16628873,171252.936500812,169742.806379419,171538.148409263,170588.775280132,170019.888714196,168607.363360541,166537.443066647,161298.069294945,161013.653241406,159580.62280161,158957.377028755,157683.602488184,156140.49298509,157740.974441451,156272.411413544,154921.043347211,154312.82494693,153914.231329476,154835.056622257,155766.370483494,153958.283133112,153790.808082622,150923.288396153,150296.079854548,149213.249330366,151046.48608447,149053.096651995,151291.484168727,151700.039397505,152519.036239027,151786.389225447,153942.343257445,155483.631556476,154499.792438258,154715.371044981,157288.557899087,157033.399223049,155922.684864108,155331.866239994,155838.040979925,157327.570380212,156980.632132907,155667.766743844,156201.376579521,159463.891617214,161392.811404336,161014.011834866,160316.397421205,162074.41503434,160745.09285936,161640.998789002,158231.354431256,159258.799165451,159026.585790116,157042.923205789,156786.072610986,155729.656682392,154564.155757752,153707.461170029,152519.409640994,153372.553514206,154916.899502332,154261.932083008,153420.043472532,153564.457321126,150098.893406465,150706.593670076,150581.314839238,151497.08120612,150519.33198805,150300.09719286,151400.048181883,151510.577643553,153225.860489259,152661.983817186,152958.691765164,154001.614833281,151781.827409391,151776.421803726,149686.548007399,148946.472173369,148810.656036281,149103.660148678,146772.4175855,147558.045976862,148315.759298636,146265.320723718,147428.625734478,148828.935540141,147644.69944268,146597.385209602,148486.310007576,149925.267282678,146222.833025554,148066.653867972,147228.884584141,148398.514119518,150982.326416705,162148.344161397,157369.449316424,155811.08154144,155130.451949398,153610.532969044,153026.552441626,149156.245301001,148643.660837271,150656.4667716,149515.883875142,150346.672546625,148302.74597001,151268.349185347,152222.722762559,150616.029501875,150564.526212466,150714.306849768,147956.347393777,148205.706475053,147218.370414355,146378.040560567,145508.738602247,143742.916503882,143910.660671336,142510.77529262,143185.171771025,139380.215747009,141939.722389609,142268.75537513,141390.814119399,139122.197229544,141662.013830695,144527.644823857,142705.488273092,142767.004276926,143130.140090571,143693.363307456,148442.072420819,147136.173273219,148076.73809853,145644.87506246,147786.618797586,152778.200510748,152401.236928933,145466.103332864,145124.399917716,142654.766237865,142399.238257344,142498.01540866,141368.110625052,143812.973278301,143848.996698224,143691.957614596,145128.641542461,146998.989162856,148152.681962656,148314.867091982,146630.81501311,145483.281858046,146040.722406336,147276.969038212,150960.709544417,151354.665842194,151494.429817884,149552.711820941,151664.601807016,151039.715002633,159717.255003177,159988.988280679,161078.085868805,158721.447263846,162086.267715928,160001.990357018,155438.24984116,153438.43602934,152933.643144317,150540.035768779,143536.962898635
"3",183490.447565807,181738.34618152,180822.304184731,182010.500338007,178461.305988195,175166.614864125,173573.651056896,173225.000212271,172291.741973552,172334.11271673,171784.611472298,171581.790539511,170042.483436039,169614.142163451,163854.41385674,162790.228941146,163497.483164366,164363.460312391,163285.10282936,163975.246166851,164685.425866989,166802.054405554,165834.256599353,170253.365554422,170901.259626735,172835.126543625,172127.921083645,170228.881952941,167511.944566148,167407.066967947,168993.021454961,169205.780634689,171019.339469519,171738.633798747,173627.583258305,169641.562127568,168904.1049679,166107.140221059,167724.772957291,168339.768752628,166649.904743479,166052.205634171,171966.277494083,170275.21269915,169461.379092709,168432.82634345,169956.539871107,170571.766694232,170747.240988563,168661.541923501,168382.073860933,168992.134526583,172207.202985955,176430.837478381,177032.726917751,176248.890374567,172371.821299286,172040.10679475,173027.540885859,173345.726418946,174953.266572678,175424.368301437,175395.964116545,175013.730289245,171674.099821868,171638.647037565,171179.530930949,172862.782490643,172809.651440458,171175.130336386,171840.973953804,170948.237501565,170111.248245627,172872.475960189,172615.044244221,170124.822824522,168427.692674479,170316.140420445,169412.969049581,168479.322342056,166675.287206222,164498.603398767,159331.685942532,159207.197893528,157811.938891787,157469.096112615,155883.755540851,154508.771080379,156141.017213378,154526.389667856,153095.627676108,152393.770736166,152096.484401009,152693.828108003,153908.66212241,152234.530114076,152258.70343582,149349.408888036,148843.721737227,147746.158541288,149078.034881236,147331.139097364,149562.941503283,149888.553217619,150762.573364076,150095.654392406,152214.333490786,154198.960072758,153053.528024543,153274.706758479,155607.932861107,155232.364687582,153896.113318821,153225.545248122,153814.640584977,154758.949232298,154624.576542652,153079.159585834,153698.874349118,157320.317548995,159665.176980171,159219.955722225,158410.997206293,160346.512725057,158838.334254742,159934.929447781,156589.282184111,157448.696344199,157252.804345519,155109.739872938,154379.233001413,153171.504723232,151713.145049539,151199.753215326,149877.080940153,150388.013977178,152069.846986919,151817.582775552,151023.407231913,150882.955463843,146941.155023795,147741.054330721,147544.163069834,148671.1318083,147208.638889161,147273.928833636,148465.740980127,148984.248294654,150917.678168079,150528.308453977,150878.581749769,152350.139478496,149643.929336217,149630.614040162,148165.036843488,147477.988946348,147643.633427739,148005.552424197,145487.479812834,146547.004293163,147368.152435707,144398.791153815,145879.673907014,147859.212641771,146655.53894677,145055.239874707,147334.758071542,149064.244737347,144177.457978393,146755.712295224,146265.151729292,147529.607785763,150120.784075453,163461.049588243,156393.606482586,155277.765316707,154239.106925677,152869.769989592,152002.365883289,148228.371025298,147685.963494869,149655.979791266,148291.111001131,148888.963952821,146331.947882746,149400.07176357,150657.776565817,149083.625700331,149155.406422106,149067.57840719,145673.446611728,145996.295250906,145298.289221603,144032.468434966,143503.37896834,141689.905589436,142112.128878863,140062.904481617,140596.137960365,136358.792484835,139489.237946741,140125.561752197,139292.69698861,137164.821340086,140287.721413016,143354.331600954,140851.658832171,141144.772417787,141859.147251145,142580.229675003,147475.925141612,146168.073981619,147308.622085855,144709.572250641,147046.200520679,152245.906505564,152060.673974004,144543.413822906,144178.249978231,141411.115034958,141172.604255334,141424.867715873,140261.248311797,142869.126185356,142507.379762653,142358.231804205,143805.100839777,145753.882526716,147174.127910418,146882.722658029,144760.258632576,143575.366942714,144248.748168681,145378.349715288,149114.138789739,149850.118010803,148675.736997964,146167.369577602,146665.711862881,146438.785960682,154866.499598447,154954.592249423,156188.650037679,153248.056644325,157910.696800147,155678.518698565,151871.922383282,150495.432295438,149896.416351454,147975.607581606,141458.18726636
"4",147851.00238774,147912.766652118,146410.823668626,147687.089023708,145907.932355524,145840.194639327,145688.863652909,146368.67971105,145563.914252528,144995.267145342,144095.754611,144180.061772476,143725.625021553,143040.313324468,144695.406061098,142476.030249952,142251.296935614,141804.030692291,141184.860204762,141993.117333274,141479.556900965,143304.652390883,142214.421997647,145008.751374551,144914.977256814,144140.813199871,143375.923646801,143760.751580973,141522.059870296,141072.321095559,140667.016961071,139974.119250569,141711.748471628,143130.355502979,144266.762474687,142876.776931974,142511.255546882,141202.630013428,143192.819302139,145348.120670598,144272.701047018,143762.150344178,147586.702083596,145470.878279609,145043.534888048,143409.340107142,144118.33621542,144399.509438222,144399.509438222,144251.853703355,144307.354462746,143487.918126328,146135.626747768,147589.148043791,147739.897309295,147412.690756302,146218.260313527,146197.729716482,147398.514236403,147470.141373081,148586.922075452,148408.352637322,148251.022340947,147978.82719603,146188.030440892,146674.816958744,147923.316248194,149465.346497757,148003.069048692,147953.601000465,148346.444879382,148149.574937929,148102.734872129,148796.569814992,148523.387741102,148422.412660718,147766.64439479,148168.41853552,148278.580836299,147735.122903483,146965.427189392,144880.611464233,145303.048491697,145034.88609203,145038.392021053,145059.357070777,145598.999161726,145653.77297573,146868.415688242,145801.546672584,144682.670931303,144688.105237525,143730.360921959,143763.193576065,144944.721449674,144136.687479405,144374.472167024,143805.990821615,143748.343454043,142749.874363935,142459.754998911,141900.357417978,143902.012427538,144504.46792058,146003.107414859,145345.458218511,145505.163878964,146429.313993716,145547.168690477,147015.387077072,147343.253291826,147003.903420684,145810.009840409,145546.155536266,145761.73894174,147195.693127011,145761.670719295,145523.780164888,146225.582940594,148021.502875867,150320.075223974,150318.564620763,150444.505292021,151528.769686462,150462.064571835,151499.102877302,147103.085275938,149205.933642399,148545.887773526,146967.273190591,146626.582031833,143318.58390652,142423.682900173,141845.169572069,140764.083207429,140830.622208392,142190.349215084,142105.68763274,141897.323981586,142190.423547362,139485.318684704,139634.057566762,139644.126702656,140365.868492538,140334.351919625,139225.403250094,141478.220414169,142243.446205474,142737.887031791,142727.496563632,143466.639569708,144374.643532909,142846.230012575,142440.682590269,141442.280054745,142365.552315632,144118.195808442,144803.389524608,143712.626563486,145241.14449464,146657.440036134,146108.673797423,147215.589683184,149701.193376367,148879.620387203,148919.787805384,151433.0714008,153309.755610994,150598.871360338,153655.227753951,153644.117356557,154373.259329024,156965.139077061,161367.4495838,156039.738849381,156307.548096011,153917.328551227,151703.147014587,151758.475331835,150210.898011217,149957.222542698,150185.973793786,147968.280012305,147757.69407558,144518.153767489,146119.459571134,147724.701183607,146170.215345549,146553.636407415,146630.414612819,144141.049643645,143310.492072365,143381.429792629,142800.874382345,142722.895579446,142589.747491684,141788.969166204,141158.078767293,141963.053614274,139853.944004896,140383.109396256,139795.920589726,140449.370401388,140380.152855161,144478.206269712,146526.489777219,145055.293047159,144487.450279185,144025.358065692,144377.28103077,147523.365392921,146486.981971252,148274.255890338,148873.980030851,149249.506929736,153527.639017132,153842.925676145,148253.271130768,147038.775095086,146458.437114245,146413.516711822,146429.001747679,146128.531778328,148040.932526285,148025.639872713,147748.075157399,148787.528162093,152759.508108249,154674.212527429,155164.695120433,152822.425607144,151685.243983822,154650.679126192,156049.560638261,159347.303365217,158400.85852718,160008.035230491,157224.019775805,156727.351647215,155060.338428434,155200.039727358,156813.53567225,158859.326841004,157946.340632952,160278.268228183,157674.61888666,156822.034012921,150999.817464388,150159.984270504,148333.966454561,140185.085758852
