"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248"
"1",105316.81382537,103566.275853824,101341.632387275,102057.470509561,100770.968774309,102099.60758506,108306.306386801,101696.529521525,101832.944278962,104252.471180896,108398.981849744,101617.655658524,100909.904007107,98170.7159461116,100087.6035547,100372.878544052,103887.9845829,104629.553092995,102079.633707486,102072.769640999,100630.811858294,105495.309563768,104940.779072954,105805.011985814,107891.983635594,108318.921088185,106547.436279667,107757.611760171,104666.89047764,102894.526411352,96901.4750681114,97558.122651122,97650.8712282341,99407.1922687841,100529.964534441,101475.270109599,97785.6530355491,97044.8943038638,103294.054534991,102464.852918861,105417.114474698,102732.146769111,104911.852531945,100453.600068373,99989.0130098224,99266.2464287222,100711.641477628,106330.827092779,104470.702814173,101645.676582347,103588.790764551,106291.783583321,100263.056402356,105562.162846005,110699.603768592,108642.498032003,110977.956939679,109675.077498305,108706.04396916,108403.889547002,109218.365560515,106784.897799533,105057.50112669,105776.054611709,100865.612220665,108325.518052868,108974.448267824,99231.5744303973,106118.45130662,104534.365292119,104131.841152884,100405.802154671,101780.732640305,101704.298134205,102667.157171756,102874.024048168,109750.818178423,111475.735315878,106420.424151628,109121.486073523,106231.93521245,110202.165336791,102805.602573386,107880.766203192,109609.176491069,109227.726180551,107879.688436217,109430.965506802,108328.412653887,109664.907057025,109742.500826007,104696.519648026,110925.903831655,111463.750764518,110633.831541699,110879.615015204,112978.01988544,111068.092639592,114286.523000707,111181.546942615,117448.83039783,124284.279104613,124759.251356941,119063.173378331,113704.277405079,114696.719378309,114399.321080156,112775.652998512,113351.605691295,105497.81083361,119805.871459515,121748.876640872,115436.400797971,115871.920401974,116748.1537982,121608.502233097,121611.69272612,126306.814331303,123571.788724895,126006.563172116,118773.055004383,122108.486077611,114387.519354813,119872.590557875,118175.1967553,112384.657491081,113220.059713566,116045.949071708,114510.824764658,117763.185089222,120633.797192121,117172.376150742,110781.144544463,113094.412751174,112200.185032881,121713.011017513,121675.655665643,127788.895476392,122411.422367786,122881.237466904,121486.849754894,122713.847540691,128180.24587071,126477.047845702,127454.858640244,126515.884296965,123072.139002653,129311.890464314,124941.782319546,132814.610353539,130358.489224464,124341.596818808,130092.351943139,124945.428267098,120244.617013721,123614.597180717,121125.803652336,133457.633391197,132348.812932241,133099.320425467,133150.147076241,134046.731964386,130144.874315519,131220.483094544,134865.167576461,134502.295391602,126704.673640469,126516.475629658,134526.247160258,131543.289984513,131688.332374077,136768.85638593,138998.929451644,135872.230711128,137066.112813242,131599.442621885,128168.246082385,137116.088861625,132877.978679393,133239.424927277,133707.714144089,135790.182762499,136509.861907536,133955.081703075,129702.863683037,131073.558262446,131637.244742194,130108.500760907,128040.117186059,131847.605625984,132117.980158496,129618.079276247,130182.429747921,133403.34623216,138860.239249937,135103.261408783,133908.110260847,130076.808615735,131701.04370274,129636.661593672,132584.736973192,132170.717248065,133158.797148332,130852.531092587,136129.778480847,133256.960448222,138393.231962094,138924.280926968,134062.577381716,132329.868346958,138431.796094821,142352.631308717,143321.955602917,143830.037938202,146833.515179304,145929.982128415,149725.344257594,148147.795176487,149934.012884347,142326.768548899,138579.022901326,137706.746985973,137646.731341452,137646.731361842,135651.222940509,141185.234632048,144499.040973564,144830.865589104,148626.353859015,140368.32893551,143774.835082497,146347.21014787,144228.821388426,148556.464208872,155359.338543599,153982.620781417,149506.701018493,151620.270440562,150375.92372307,137870.130897037,145774.977269096,145833.291890977,147247.110538355,144250.156236539,142361.326664195,138992.621539936,136397.708565412,139073.51149786
"2",98632.3240427159,93648.0175729968,86312.5424562401,86606.5410388137,84960.7706087073,83412.4638883958,74456.7439371038,73327.1959137861,66458.4917286384,66733.6893032583,74776.4518721228,84579.0419495027,90146.0875926485,88346.4101918416,88139.7446553222,100488.991651603,106683.964465725,114566.386131282,90078.8252931353,109893.049117319,139113.549616415,139943.192510725,144085.473539451,162705.744088709,163109.589492635,157123.438649503,159551.55168684,177021.355623673,181419.513009881,178239.972258494,168595.061939606,152057.426989952,162331.874500874,170494.265077779,166910.809437272,222926.794563741,227150.079540372,222925.389496823,210623.813160779,198788.967931232,197182.824021005,203169.308169968,199987.847394423,193567.959419106,177656.320692394,175956.587823058,215039.906469909,213545.779440429,174201.271022641,178443.506089979,185180.049271776,166676.11321894,173814.764379715,162034.493253573,143519.696750655,114259.582833762,121052.514916543,129093.077021399,132670.070629688,144683.724725161,148144.999088294,147429.797565544,149199.692841704,146220.702327217,138474.538476644,171153.8692768,165483.046599334,163735.93594971,163623.881157696,171252.006952864,162310.190092581,151500.698644948,157933.745452145,148199.398204441,182454.930400563,179347.617282351,182610.996217787,204959.832135794,186390.954575775,175721.052157785,201075.861650208,213376.963598036,218058.761980896,197231.0958702,189845.236687592,189374.630893489,197701.224377531,189651.090240078,184035.94658963,179321.963343496,180989.404934276,182430.583261786,187638.953658901,148626.99159289,161752.092818438,174887.754261674,167595.378665178,169081.182263612,163630.407792193,153912.183555895,154482.679432066,141877.673754618,148903.490280227,153719.911024436,147759.489618889,132724.357836261,122088.599086645,150635.906143741,138665.923100368,143300.465250809,139757.967140122,139795.809487538,145672.131845956,144259.251221892,155701.75506251,144132.091075109,136779.026796861,181555.718666169,177967.030067735,166806.466849839,150920.88737495,152443.75459135,139329.982686666,152326.115615252,153167.984462399,157733.891136398,153450.803021916,141189.392889167,150985.829332022,154512.664218479,168298.414625411,175633.936737062,189211.153359857,197381.185372875,193895.402925652,181023.882252049,179066.717063173,129696.179547867,140964.173997248,114337.034522946,144390.718475478,145261.743424524,126583.580531274,137345.767213841,128401.803671155,116045.685727549,107050.586185024,105647.790194854,92453.8869835159,98351.5874733111,95435.7185984068,76982.5254286843,88798.0378432481,84664.9789793742,110410.572184062,128774.845233961,101785.849232116,119143.071858383,120631.55990228,118306.864019086,118946.875118202,113448.294835051,110127.900945766,107941.283939077,101222.789422392,86766.658850131,67583.7774604321,84521.5260762937,88025.9857853686,81794.6822422161,82294.2883310531,63457.0123976457,65635.3591994187,71189.282510342,74298.2282572059,68024.7752646922,75869.7946843573,75381.2986518633,112158.807522998,92658.340333957,90951.2614021715,152022.712662158,147579.382191445,148850.160525985,165321.490013294,174249.979258282,177067.344378012,197936.191002934,206568.345176035,216793.472576433,234464.664049779,241809.072871155,216480.004620878,194266.410918256,184576.943997268,171584.631527772,178020.867425274,187063.620448172,178325.702061627,171282.297269686,172541.93338972,170135.1013001,177669.098983915,175214.275590926,178854.069267263,133703.418779914,134827.301165731,122612.565104209,129734.865350812,131228.068426404,144854.44512975,117499.596582643,148545.118413552,168861.891295647,167746.254454235,131280.19112446,123232.653392319,146285.940264501,148016.953971833,145362.416695981,149812.16269118,143914.527048033,133695.66292514,137474.470778408,127672.672010349,152474.444908176,178760.982159105,178304.424998503,188302.190569251,163969.32773768,156394.667074415,168118.850041989,169646.269073303,201550.595726273,192647.605617057,202041.080170689,166922.590442731,165032.416254663,155525.290111121,190770.45044192,222286.475480809,221322.346682172,275604.15193707,240720.915524629,243384.665651956,224189.530528931,192681.294644363,198777.273205179
"3",-5865.22209435362,-18378.1244383552,-25544.8983450032,-21692.413358577,-43115.5673480664,-54780.2177907745,-6790.66948780713,-4608.57599249568,-1021.90013410424,-517.982592408837,-4342.25226325091,-7266.80195999707,-9282.68543078369,-20186.9213853569,-20527.4017074531,933.601207512644,-4628.24475966086,-1092.62047329219,39837.5513484694,30156.329882025,59726.7632674828,50878.1436872373,40141.4260110351,432726.397890617,40316.3351410436,39557.3711720977,39007.3824830744,42905.0125466945,44258.441456017,55253.3033776153,51727.7757379415,336921.635231761,82208.9448398349,257564.505096623,106203.630328274,120629.600260955,109076.204997487,131329.333229698,117811.543225439,105164.385215968,130789.372819192,188464.161112916,198621.983985871,194114.999720956,222056.507603019,228287.168597028,339692.798667395,59522.0258482638,225716.982942975,225364.137739655,302193.749879301,442821.230493768,467628.406604255,439449.896139041,462464.140759243,346248.471732982,212236.22762319,161742.455204027,171481.180395296,175329.935359797,141300.095291957,120333.711560038,121587.163040559,128605.036541948,115968.760463235,142178.443473085,116427.60376714,150690.613072362,153331.104516971,127790.974072151,94469.8915703784,84518.8342553361,117741.684937525,115749.336528508,131081.764648485,128281.052447194,175676.05484235,137296.184091728,70475.9157890829,103337.189031308,229668.496428937,254998.667532535,237868.638288024,136582.826721469,111618.799898016,119525.103069754,196044.498666429,175572.589419774,199501.83758647,221618.036095064,219736.141572785,162918.062929199,177171.811985298,113440.538472602,137491.206658666,1141.74893394517,-11970.0520698499,-9093.5229517092,29289.8604201092,154249.913359235,154480.788230021,21497.3281541687,220718.869589158,-74351.1061139202,-94648.4058500599,-182320.905948982,-212711.370811095,349108.452406859,309594.094313627,371375.775476024,383807.969914274,378163.841452751,402141.628870438,381060.722397723,413736.150490224,494003.15626335,465021.142904939,496973.639122698,480079.103074035,431579.676526629,438438.938113534,-202877.784359792,414035.270885567,-66200.7470940156,-45111.8816435429,533793.660608324,545577.507945322,514149.711353655,505523.579522761,535048.506818882,588664.781454395,620124.192923284,576227.825971413,655688.626043762,607175.631573756,555608.982273726,521747.564478137,477666.039499004,487888.639688554,410609.50280889,443336.11817091,400165.857838368,433867.438473212,471500.728496207,213613.850215129,205504.758422561,48548.9968383747,-9131.12405093896,-134084.471001477,-93374.3061735796,-84795.4276103117,-12626.4833983122,149885.676893089,193159.455876916,220070.393417515,336575.709754254,347818.490508196,454828.626852001,403174.01406578,412496.391289665,374997.837166596,324423.045180368,287102.998614764,293202.625700511,322079.768816572,299420.16105728,258668.459802202,363360.771149911,360084.335978536,529597.036948222,484923.543789989,470325.580085353,461911.134849808,452484.065262358,387277.89598207,368508.080497825,342402.588598981,331850.129355013,388310.259320853,381212.689990028,348389.26383634,535912.095095316,506000.359195334,476743.474248087,526884.239128561,501957.716577465,554052.884005836,573602.477096186,647241.566371969,656717.345563802,693573.308728422,731274.915579409,573827.123940135,525258.462711378,512469.560272211,492163.448026262,526217.115251926,512832.914954609,14902.5226329262,19551.3267152,21042.5015489552,13916.5962431113,497166.853219959,7587.1975969267,457919.662379387,313954.432852597,277571.971875955,235473.951708173,217779.255912114,223296.490570994,39219.3306323174,220206.920820234,270650.664046544,299227.691221939,300306.956706695,191271.198501399,196965.206380081,19453.6703069242,289103.776467874,259061.560948229,256000.350439186,271505.394107392,272081.317866203,275653.903891604,312034.862503076,19612.5280924799,15583.6259227223,28211.8598004406,69969.0147073459,162083.490583088,131924.906997481,86123.0520882235,77753.6162564653,57598.7246144904,19633.0635250673,28607.6420480376,-26223.5545172909,-44414.1753458229,-41217.7584055521,-87632.6300011238,20725.0106970875,-9968.27737880487,11693.4548044654,-1130.00487572791,30632.1449214333,471321.412887093,358590.563584581,355278.70777298
