"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248"
"1",102081.501184818,100620.175588236,98227.8099536762,98658.7485997456,97567.7952168267,99210.6616067704,105055.173412159,98624.1370904722,98535.6942384798,100761.57452688,104813.215115534,98062.5290701953,97501.8171748632,95142.963021093,97787.3943776596,98194.3086376957,101528.266841933,102630.344973432,100111.018340537,100103.460722561,99223.3462619342,104443.130187827,104048.408134901,105009.034946941,107003.38645448,108376.745976901,106957.668384103,108442.86705387,105799.125410872,102636.075552944,95907.8605967124,95138.2215283567,95647.7625051197,96488.9086923231,99521.8752773184,99727.3971589937,96004.6903184063,94627.2608863553,101627.394974271,100731.786146826,104908.734264762,101095.668773582,103950.666575324,98863.0984485342,99560.6366620103,96998.8517504239,98751.1636862783,105300.401707056,102773.296715507,99607.8715060745,102088.974210259,105311.440581101,98075.5807599555,104220.36904347,110014.530251761,108391.151322765,110491.597322695,108456.859697093,107533.286414251,105915.375525482,107978.117094611,105446.112855794,103015.712378895,103925.108274859,98992.8517815736,106030.767543906,106673.212656306,96613.8309130914,104594.975347972,103925.487657073,103734.925118484,99925.825455224,101586.267370413,101489.68153111,101662.59268868,101475.03458597,109179.786172782,111302.57013721,105369.802995823,108027.296195277,104458.068869484,108635.040004635,102585.02798569,105810.82025797,108552.316591388,108012.795834954,107216.800964793,109064.768608734,107016.38363471,108903.446583616,108557.362393521,104480.881910972,110579.447937862,109631.927232252,109972.865917496,110080.877907626,111802.676419806,109627.256112054,112834.81628225,111155.773474372,114317.078368508,120411.326602608,121704.180337206,115992.502925655,112617.372251755,113569.29453139,113642.372664431,112168.304651465,112425.770405962,105529.708638388,117684.986369607,118568.429957552,114397.051176194,114654.455146665,114236.364413181,119494.590999859,119495.851985123,124661.930471809,121940.106404892,124061.07867567,117584.000959376,120746.071818982,113450.46633733,119598.825065415,117814.37947018,112179.021742137,112162.91491133,115814.26924467,114799.774461304,117659.671733606,119450.10214498,116544.902836525,110834.897193561,113010.488242783,111891.315376956,121527.858511583,121490.201916971,127638.073441168,122377.929704298,122988.309915567,121684.140188695,122885.221366463,128709.910188245,126375.054884897,127599.809550462,126895.268518092,122832.45736202,128888.06526768,124751.204826527,133149.42058069,130339.175419073,124240.195749863,130410.96211772,125369.066575436,120929.67195966,125078.670132048,121768.023114794,133762.465734459,132219.582567762,132624.494573484,132670.5039817,133014.094139078,130029.046694517,131324.244259227,134389.081293266,133977.649397453,127311.902886993,127192.047076994,134645.557980355,131732.046114054,131860.577449732,137140.397090585,140488.464204966,136373.7065068,137681.071052199,132290.461723942,128835.920937041,138610.312618171,133651.847098616,133883.137732329,135194.724764082,137283.479473076,138861.781000003,135438.579086595,130285.990880356,131977.472563597,132863.067723859,130660.608919354,128337.049431223,132652.599587777,132498.365957934,130005.761746687,131241.41418931,134263.57535428,141261.369698007,135915.662398342,136102.143821846,131699.979590002,133760.802627512,131133.04453118,134359.751689114,133605.712741674,133710.68822458,132375.560985238,136684.951192446,134137.221344767,138562.719811844,139426.040975446,134710.974382796,132981.793215885,139336.87896075,143577.995885045,144400.87100887,144938.02973978,147950.610414608,148054.89210425,151690.305206007,149340.694268954,150575.652295057,142883.039263557,139157.392498465,138656.891752533,138103.111303791,138103.111322492,135984.476319717,141936.115028697,145706.513273947,145975.265492515,149745.737459713,141917.592602353,145024.149098487,148067.157918299,146042.090615103,150496.346007368,156953.672066082,155244.897517079,151302.275175039,152895.567490604,152352.568448224,139394.652810761,147202.399589491,147268.737963255,148930.393383147,145795.812773479,144291.85884288,141201.788440666,138357.365732981,141134.162622568
"2",138186.522691382,136091.270446456,125513.949121739,126911.090182888,120489.023080554,119618.102251459,111410.613235476,109622.244659514,92410.2904780879,92559.6170991051,100159.865419938,112674.843853514,116229.634315612,113309.046487793,111740.236629745,111524.567019317,120293.054929508,125027.325866016,109095.482031096,130309.239790953,153576.731169094,151802.22952163,154366.6440207,172653.641990351,172840.844768943,166596.382688116,168575.039198371,184918.380560989,187603.474658565,185245.577055906,180768.323237545,160621.090066362,169012.308410935,178512.514885039,167756.429852854,223323.726113712,221911.191765194,218423.402178522,211350.833785532,204939.232314852,202457.018270432,205769.58843485,204947.843969314,197835.353081392,182397.256255324,180712.566681283,212450.487589963,206090.235285443,165955.710296302,168472.561629901,172424.974334734,158403.074296158,170291.102940615,161314.61661292,153809.389466878,125242.907570357,129027.073632772,132948.674469512,141659.870079022,161320.781833564,169491.441027565,166801.240853319,171281.344094154,173058.343557822,168555.374686048,201766.303883641,192535.816511188,189372.014804168,190322.176426133,199513.187490229,181440.324017905,155569.24036543,143887.101352428,131385.451422469,170181.270636636,173979.250852097,174750.480489713,193205.415179813,175376.063617372,176069.343701902,192133.382262572,208908.496864595,212721.967106328,189005.315114687,181715.10644715,196717.463641945,208671.581938861,205013.986661138,205225.826518179,201097.406615659,200627.880337327,192001.116291285,196708.956513513,168690.67650842,190108.136444759,210646.338593477,214596.818574234,212651.713296564,203493.5236096,183335.68688387,187870.779196879,178587.572321153,182645.855604399,188415.66493294,183808.480492839,186912.367592046,185435.03738654,189995.767496959,175035.918358405,194484.936715567,186359.282468236,186726.442479993,186984.410581969,187420.281515882,194985.175924742,193255.847345261,186587.229373028,210168.933756162,207807.369019817,190639.299587217,181706.457385354,181353.039351035,166127.145413878,165285.532541531,169744.767382176,172305.617777527,166989.082873731,149068.787602931,158269.400862849,161801.723995166,178903.148754405,192379.089420973,199111.106685558,205764.526675365,205242.728218211,198770.70987491,194395.862911797,137199.635026909,145566.448606828,115664.650142548,153666.465901781,154457.800828366,131753.565346309,144468.209728891,133951.072844037,116410.246001404,108354.732079989,108531.822878314,93313.6592424434,97525.5418818436,93799.5343785777,72534.6392979365,90198.4121729083,84064.4259836534,114862.638699068,136313.689413208,101266.664989566,125634.32291781,126890.783267683,127399.228384992,127719.67381452,131066.828844729,125968.416852071,121290.654571031,117425.626975881,93803.1849582138,71190.1777406469,98539.4753333163,105207.553819933,105070.998508277,101693.740686639,50001.5927444643,53114.2560516253,60613.2283919602,63976.4941683782,56449.0777284284,72771.4575577021,67566.9342174242,120701.686729306,96619.5689125703,96316.6755749714,151960.066170435,148552.297868061,150564.635389659,169356.612899744,180500.218864703,176563.798517604,199118.009455943,206610.479279606,220311.64486074,230111.769659123,239694.975759679,226923.631661337,209270.649088918,198372.609428226,183395.525262378,184798.666038021,201630.913767771,199040.362170187,195335.124441275,197972.684739247,197891.293556324,201741.985863689,200275.086104901,200240.698410331,165444.982747278,166501.941015246,157549.535243562,162290.405107408,165190.941614857,177653.475515116,147181.198440657,183176.80070191,186286.110393426,185257.753527831,152297.953147848,141623.348885046,169532.776985946,165799.352016964,163123.794376579,161555.193239267,155698.965462732,142700.562974334,149721.440100303,142574.965772384,164707.297415829,192673.315233641,192173.596939901,199311.655598677,181386.589831826,173328.297447629,187182.325071923,185909.327798882,211858.797932715,205630.378056215,214919.954704202,171286.229476399,168770.21067243,157173.139271797,202114.497629784,226009.131719652,225476.347928511,284755.028165837,265001.778654092,260243.049885564,251305.555346194,220498.362334383,217554.435931593
"3",-265.18950250532,-28612.140584328,-43146.0444375974,-47583.3907181558,-64554.8955326397,-63546.4505771189,-74334.7806506684,-75094.1408021071,-78485.2616240869,-87091.4344261569,-70201.8828761785,-81557.8696798837,-85887.9332910471,-77543.913013045,-78566.9433447784,-63570.3197400398,-60622.9701929083,-51853.0608190624,20829.6437406043,4937.30296468653,40864.6924894262,27950.8474824434,9522.60545907454,376608.363406253,10192.4912017209,4724.84136435827,5218.47626210589,12454.141702376,12369.5094163638,29375.4289679214,13642.7955804253,358968.210814839,51445.8934360633,304659.72761808,95542.7499898961,113391.154109257,102581.918555346,128266.593558343,116474.397047829,119576.221133882,144245.023340514,202868.519422611,206540.149223696,200475.223234789,204332.376231254,216894.608996612,342700.650843319,106792.822696506,224693.977022464,195788.395697436,263201.510293061,357995.244894754,379440.078235428,356892.656904693,399123.94994926,346281.349163611,260227.33304775,202211.079367536,201048.680171413,158616.543791975,134485.266641,102768.814342678,102053.117433496,99874.4358085666,84368.8027151813,102884.177982081,49439.7951306407,81302.1112868617,85123.963455115,73167.4818603381,45753.0600762214,29695.637193265,69321.6002542834,66291.85519309,103612.23148745,104878.625112585,150693.634270577,120406.465727771,51272.9977696862,85080.8958495495,284972.807903051,320373.45693399,307752.399781336,236575.968792053,235138.513488866,251365.965384107,307616.730331469,296429.035545977,335982.244968155,339949.15583029,334488.902358862,271143.580604117,284722.273704703,268501.08501957,297960.066762524,205553.13514677,198100.070956042,195488.758478096,203250.847329062,175576.624469068,178379.082948559,187650.394577684,244018.082547603,27590.9430702753,23644.674338617,13685.9219350733,28030.8238657878,359931.861273745,339244.80496461,388806.38738934,386282.769920275,380237.12353739,401193.240814937,396853.785423669,393329.388705549,431709.036117401,413032.548989964,433243.004253148,414081.595638566,373909.732596726,384555.628026422,-31615.8389938325,381852.121040956,-77027.7406094751,-110434.053880621,454827.25086184,467692.074031731,446513.695036984,440778.00114196,467616.5543435,485412.350680374,518722.790117091,498013.083387663,530316.254989608,523443.204166154,517791.684743937,493375.313675499,479754.804549901,489259.602477162,448384.084885162,483777.861987936,466452.38549132,483286.848200278,514996.48874059,398151.587385509,381814.290708669,330999.146091031,330018.903849724,273014.623567655,293111.403208063,302965.79891466,327738.622487902,403077.593123769,405442.486898895,412060.253831588,455432.59787204,439155.639416007,501730.650421925,463823.938522488,442166.518427627,415618.386254611,374196.092414678,338111.447450453,344426.128239699,361605.651652027,343265.036022957,318627.206010523,395034.700069888,399911.394453002,500989.035858698,464873.456601908,445355.455409897,425484.665024142,418961.707070166,382413.748668753,370158.780109585,362438.032629329,342813.145435024,372733.199421725,351352.17756004,329838.490067561,430935.963481383,426850.051417317,411249.873667321,444337.128744056,428181.301390126,437395.563966193,450970.880228669,479186.565052578,485085.39635919,488310.072956021,525109.31565735,472322.736534783,450321.455078289,438766.180738559,426889.676275484,446934.293355438,444838.318096067,-18748.1642966064,-4619.10195841176,14551.9877544353,-5314.52424315891,414387.075400514,-6900.99161086867,390988.728375785,312114.172748945,300089.678787899,269524.749018132,250450.003836052,257098.096604412,71231.4601408859,241602.058330789,282848.879582856,308399.739587463,308753.284737037,244734.852584445,253745.41734714,19915.1115157663,323238.018873533,301093.126697334,310015.13561607,320855.925089182,306255.189972928,309619.972592061,324639.752096027,-40153.0935033789,-56058.6825275134,-23200.0617050588,88468.0764365938,214829.627798626,195435.661956611,162428.576570131,150598.75113551,119069.924155274,46565.2920866876,16991.7891490682,13952.0478229538,-21787.8595287477,-106062.924795467,4982.86230276037,46647.3499664709,19270.2334484755,70809.614775811,71081.404347676,93891.644780605,383660.289369602,306949.746521933,299408.512699355
