"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248"
"1",107046.344158427,107314.100587149,107523.677693383,107383.643541753,105929.255133435,100021.03252411,99245.4768339037,99473.0915992936,97636.6658141957,97636.6658141957,97275.0716914446,103446.728684677,99170.8945162035,99436.648146201,103181.041748506,102096.319934149,102208.908789501,105882.069737182,107141.27502907,107141.27502907,108905.501744457,108962.359521089,108311.457590083,109711.854927732,109711.854927732,110349.129331379,108706.509746149,108592.401131174,106899.360372623,108271.034051266,108333.246962149,102495.300864469,102460.046378854,104596.021667604,105190.838896125,105202.39208032,104712.690537065,104712.690537065,104712.690537065,103569.264181169,103882.854656241,103787.921101335,106431.013178499,106431.013178499,103952.671685792,103062.2547105,104030.754638913,104465.599936305,104465.599936305,104429.730616499,98605.5058077615,99043.1304555281,99126.2846662073,100373.246240971,100176.046571721,100285.083144208,100813.40078855,98338.3763328233,98338.3763328233,100464.282757862,101798.377587556,100452.374806118,100867.401977095,100867.401977095,102180.752335876,101765.625772043,101372.117038234,99551.3820416546,99551.3820416546,100819.864410044,100701.043676215,100123.192568649,100430.29740676,100430.29740676,100654.994423205,95210.5405190969,95851.5050599185,95851.5050599185,96696.4407841193,97509.2097350607,98602.3718678281,96941.582991996,96941.582991996,98082.1742400935,97347.9645083391,97667.1960967008,98083.6875598121,98083.6875598121,99306.0603265674,98655.5509449572,98131.940916546,100275.922492318,100275.922492318,101237.775084409,102195.076443776,103309.929177275,103198.662127641,103316.642858241,104204.113403932,103976.949541234,105705.953526596,105705.953526596,102411.36364054,102114.368101989,103230.164423047,103201.077205806,103201.077205806,103557.347487427,103532.509087679,104084.001113073,115427.23230676,106348.886478821,114544.745414304,114144.183754983,114979.261446547,118159.522433631,118158.780835848,115501.513439548,116387.099059434,116377.006187945,116542.282299987,116532.726213097,116609.391260447,117269.066196649,117369.371429291,117122.084116477,117122.084116477,116891.895059688,114737.022613835,115250.591904498,113997.306628856,113997.306628856,113071.672983422,114574.066000422,117368.622609656,128803.015472733,128803.015472733,123516.434462138,119855.537125587,118828.479475569,116490.800335534,116490.800335534,129513.075897287,131457.273560694,129430.231458647,129430.231458647,128024.575741218,131288.691422508,129313.603295795,136495.343893677,136495.343893677,134604.489622773,133159.738063884,126084.974352958,122227.635319877,122227.635319877,124347.365079807,125743.399884532,123159.72675246,126747.560484633,126747.560484633,129041.601962595,127462.543161226,129458.30627906,125632.839453694,125632.839453694,125677.508580515,125965.71159225,125309.054421267,122688.329849301,122688.329849301,122665.23232062,125137.692583041,123125.948516792,123452.0597598,123432.492356531,123883.875308011,124089.340564666,121672.374430133,121219.34163988,121219.34163988,121423.806691444,120628.354108231,120487.989472793,122480.181095332,122480.181095332,121531.076431093,123703.011690483,122427.716361733,121348.154407966,121348.154407966,122692.025656945,124303.5844723,126130.709231562,128286.46747932,128286.46747932,127380.42123687,128144.610598575,124814.379765983,131641.232766314,120668.370908709,120455.763113002,120602.859416033,120602.859416033,127752.607689751,128512.503633157,129531.801831582,130777.986742787,123023.029645298,123023.029645298,127233.880670904,128428.434078323,130321.844174153,130181.588427477,130181.588427477,128502.618837405,127160.035006773,130017.062127253,130406.333120464,130406.333120464,128018.73242462,126693.855455015,127316.65820745,127316.65820745,126026.421396764,127324.885366876,131717.64971881,131717.64971881,134401.012868834,137768.965836821,148630.524391532,152414.437511356,152414.437511356,153528.909704938,158911.591662206,164451.264442882,161296.472329736,161296.472329736,155291.316287709,151079.387156817,155152.894946338,155152.894946338,155865.424482913,156321.632601593,177551.573729605,159085.098546367,159085.098546367,156723.895262857
"2",127705.326673026,126466.494328502,125182.415774953,125537.050880097,123108.574680568,123102.268928906,122453.233982496,122174.058739764,122060.83097747,121781.615499538,121452.165309596,121144.311713036,121188.008311646,119776.771172377,119732.037078783,119960.455216992,119475.392959148,120582.483697778,120629.357270734,120568.169059388,122714.960713192,121693.352425659,120930.164469331,123309.287684549,122986.012320145,122868.27601333,120417.351476991,119489.762311523,118097.961039298,118108.189384463,116437.40733124,118879.626106643,119100.054209107,121490.36463397,121517.70258314,122146.391138358,122078.313395745,122110.387727947,121947.605821321,120806.527962555,119820.567541538,118891.050268231,118297.208003788,118260.24364369,117852.544146545,115934.401256306,115316.717753085,113557.735755285,113672.571095783,114733.94036249,114871.22350587,114392.09209188,115689.89250438,115744.947700477,117664.618383165,119138.076819999,119334.822901151,117402.984799305,117080.307748022,119834.658530572,121061.944809874,119314.423622537,119603.302888647,119571.189057604,120360.807183522,120145.818114671,119038.535137556,117262.171898862,117261.133142138,116869.086037166,115725.768021074,116152.414242874,122023.355726963,122186.771982287,120882.503883242,121093.642735386,118875.001534413,118781.759410302,120452.738404789,122165.283972934,122384.300844709,121415.083487215,120602.074408281,119299.185108052,117612.329456152,118503.219517986,117367.771969897,117348.352850502,118562.686652273,118206.704080269,117218.628830655,117690.166929121,117644.059505264,119961.828544607,121781.42532627,120160.461001514,121264.706991601,121248.793519123,121499.377769066,119864.704482694,120770.754524652,120860.745810388,118845.280865062,117828.411523732,117323.390174907,117812.163818997,117741.140650668,118640.474404046,117477.218242672,116936.521800462,128544.891483326,128583.704774227,127521.808294074,127208.965073363,127358.216315139,128606.767110648,128660.630408512,127299.575729762,126576.668341495,125740.257840752,125559.520081588,125623.286162776,124299.584493305,124272.716342451,124401.308682091,123497.219923539,123478.163196478,122848.915737986,121147.276897483,120961.168766255,120969.379931429,121214.856843564,120051.829813326,121135.446092133,124980.51794727,141541.170715276,141521.631419442,133973.555002727,129699.964007131,128063.414834987,127004.301530834,127086.971954342,128368.487842771,130071.343971662,128386.709998942,128432.434915,128941.073637242,130434.023942837,130895.459340379,129122.10216121,129175.929260985,128089.602946325,126340.629992867,127636.954366755,125006.492457084,124826.178041816,126623.483781739,127405.401195262,125794.273657872,127372.216289453,127279.689574008,132833.921495747,130549.608108412,131230.823368179,126555.266292933,126551.160273606,127206.486708978,128660.055151587,128050.503093688,125718.665272258,125778.626945525,129986.173526127,132600.838177413,130726.522415029,128002.63317525,128121.041857031,128886.158584178,128964.170716197,127673.36152464,125639.514210154,125933.549874941,125614.939267126,125639.969769781,124692.815971754,127976.517250667,128072.136215146,126833.111201368,126983.926031926,127663.051685268,126016.505592278,125964.109541598,126432.792166909,128289.558882898,129838.741287243,129534.207337786,129485.256524099,127710.399353285,128273.387226579,126516.957752026,126049.074530366,125983.784996077,124747.830785566,123971.722051428,124152.536429301,123606.760174371,124738.71764628,125058.259396725,126655.802567209,125002.862410219,124915.197932598,129414.09877413,131612.91633492,133540.170094014,133649.781937895,133968.635419892,134511.060998045,131949.304064217,134504.043037334,134076.05337661,134219.123913574,131851.913748655,130570.238981905,132035.023188111,131915.142776169,132795.277059471,133624.975361459,138806.695537063,138508.046795167,139980.941514051,141346.431467956,141162.700461475,141505.850714359,141460.471311336,145265.011857058,151470.686111703,153938.197512339,147191.437605422,147002.145857544,149403.477426066,147027.677268873,157791.688985541,157896.629649122,161150.792485037,162909.000124657,163029.000791544,162680.556683759,162228.21020724,157706.310616868
"3",125890.070438636,124638.457282374,123225.935641215,123505.892296126,121200.404864951,121088.513812077,120693.327299015,120563.224589917,120278.338288901,119881.823150948,119545.975812412,119147.256038421,119456.877591148,118214.383364475,118139.728266997,118286.68503575,117621.117934873,118550.8841468,118335.563959362,118346.155829267,120556.436808578,119577.848005399,118782.01442143,121072.486883711,120977.576660265,120706.233116705,118278.766232041,117341.959105348,115964.008800009,115986.117438461,114580.059747464,117035.579604813,117266.242317574,119615.455915615,119587.692233607,120107.189053519,119919.764961596,119881.356357538,119736.414210197,118620.938939898,117783.392778411,116867.841640716,116247.756241744,116257.948367576,115618.244462368,113871.12113006,113462.03696836,111881.217655567,111928.584023919,112733.946548518,112968.562257979,112459.825667929,113573.913739987,113686.789072412,115529.321779442,116852.011806296,117051.979976408,115011.557026895,114752.473868795,117396.938123375,118717.712417301,116809.977589297,117151.025013467,117111.749189735,118113.601337282,117970.694941963,117115.240699033,115535.876083257,115497.263115476,114932.485775772,113623.071675553,113998.223774347,119570.213321461,119712.876005271,118514.293045017,118665.672334979,116448.724518695,116346.189705993,118347.60366571,119988.941886962,120315.201325612,119371.294403812,118557.624827131,117511.212901893,115855.080258035,116782.518461749,115614.629114278,115688.258377653,116817.181224549,116350.532471045,115395.311819163,115713.743104514,115595.550746195,117944.881127403,119823.710001738,118356.871105278,119677.950951131,119680.12358593,120131.847775154,118440.497328376,119272.689781182,119413.253270058,117177.770189697,116198.990653991,115854.460390821,116384.729428889,116368.408082609,117190.084541209,116168.748611011,115749.393002624,127847.938965986,127885.624170819,126674.622214105,126315.182954696,126432.729016365,127751.598642172,127838.52065904,126424.67099237,125665.68567746,124886.692676215,124817.553168989,124887.696359153,123749.400683208,123772.83822172,123924.820608222,123064.32027215,123060.358452977,122527.620981233,120806.717541183,120634.667337856,120592.543693551,120773.353849949,119754.916960844,120933.378129417,124778.175376362,141329.290323511,141329.854363419,133694.826123243,129301.787131162,127636.254141885,126358.181194181,126487.663137906,127880.940715202,129635.594931642,127987.145073998,128056.031657155,128487.386391476,130113.251818048,130589.006084295,128872.173932287,128906.365911325,127799.440595466,126014.364886661,127378.967558583,124766.576833715,124582.845972323,126442.375027935,127255.619291527,125620.087326489,127251.56114576,127170.162729446,132706.633229381,130422.837563508,131146.939788166,126429.50986731,126407.746267351,126958.584605209,128435.132009743,127787.382628561,125495.909019174,125587.491782631,129735.31096667,132438.686688811,130491.942452049,127762.020530845,127958.794183151,128681.74544666,128790.06262221,127387.871427705,125424.613722117,125688.259109831,125311.368981377,125285.346919636,124375.889291385,127674.727785591,127802.832412348,126417.917976108,126647.748259179,127372.944155789,125796.685092349,125698.836991965,126241.916808167,128133.363551324,129705.0953877,129400.974352581,129349.942396961,127634.349107587,128202.119045799,126375.906247209,125953.02258552,125888.957905004,124654.506155362,123855.465306462,124025.731643413,123559.929326863,124714.867728724,125084.478819574,126638.116231913,125024.322383475,124931.968931465,129437.512445622,131594.852640576,133534.691497354,133639.103250271,133965.038433038,134543.518552039,131975.834970131,134543.216323863,134153.13079277,134294.031820297,131893.630677986,130598.454152131,132050.072293286,131935.564353102,132791.476166241,133618.685611752,138772.772840756,138487.529203972,139933.516975104,141360.052129983,141178.629335009,141498.426375155,141456.885254703,145286.256376067,151525.300113387,154079.74205213,147244.806060495,147061.002221954,149434.424980236,146951.642105965,157712.418418718,157811.530055529,160997.585208346,162677.352186024,162823.490721264,162589.203865524,162107.152470702,157612.43316572
"4",122919.029281733,123406.987279732,122333.607504085,121891.626921303,121880.054445622,121880.054445622,122291.369904559,122406.640606699,122737.842243587,122737.842243587,121151.210642686,121012.995810606,121419.869846359,123065.168305674,123065.168305674,121210.303114901,120764.616304802,120880.759162752,121241.644518999,121241.644518999,123487.29901028,122455.490050249,121529.949081698,122396.793806088,122396.793806088,121197.399291858,119699.383915053,119700.182258284,116760.931173169,116760.931173169,115919.864559051,118437.525184933,118349.765688354,120444.779902563,121052.50046962,121458.723419772,120793.351730953,120793.351730953,120793.351730953,120233.932743299,119802.828752322,119251.300293426,117985.242834256,117985.242834256,116739.222147832,116243.307612458,116799.085811969,116773.900996382,116773.900996382,118167.321885175,118206.853285118,117473.471950888,118907.781211436,118907.781211436,119946.596773902,120379.417109367,120660.986625145,120003.427506008,120003.427506008,121467.905894045,122278.993501416,120449.700539702,120688.914685047,120688.914685047,121270.945502241,120634.638214725,119833.393307732,117773.086316046,117773.086316046,118349.247794462,118214.039153921,118139.757909045,120817.666226722,120817.666226722,120351.591770244,120262.642709955,120128.919740607,120128.919740607,120849.47084497,121748.976349242,122197.015836133,121733.450450746,121733.450450746,122492.270997758,121380.244046222,121856.528599173,122549.615590995,122549.615590995,122612.322979121,122286.896642538,121342.063820889,120484.150414737,120484.150414737,121284.667371826,122674.56301791,122644.808738884,125219.410537276,125219.410537276,125078.643587242,124837.044110615,127222.640934328,127222.640934328,126431.8453227,125699.547001699,125649.218669021,125104.598476953,125104.598476953,124521.8770965,123825.71239847,123804.329713424,128055.166816659,128055.166816659,127278.138573933,126665.164472816,127165.458946928,129123.04372067,129123.04372067,127839.439737372,126776.044100762,126137.807042405,127063.304531183,127063.304531183,125909.19408037,125442.791403043,126298.36293112,125221.799878252,125221.799878252,125473.071735829,124193.328502499,124204.787701112,123699.420624237,123699.420624237,121156.755520096,122995.095448951,126572.793784894,138744.992687858,138744.992687858,133919.548318405,130586.116584645,129174.808566878,129214.901171275,129214.901171275,130064.187145283,131713.668890378,128803.820154899,128803.820154899,128458.123083556,131168.763815177,131236.03030367,131438.341849346,131438.341849346,129474.122289849,128186.953919968,130300.858427417,130070.873602692,130070.873602692,131687.317641866,133002.235635658,131254.613372591,133844.125066209,133844.125066209,137527.369991871,135931.346998184,137786.787982806,133068.454557505,133068.454557505,133576.960905187,133922.49575721,132515.513195917,131937.738041662,131937.738041662,133392.860553139,134353.125192919,132217.404495044,131745.549186023,131745.549186023,132916.061364432,133593.120465558,131626.117619904,130449.520960326,130449.520960326,131261.978535954,130479.179398738,129516.052777871,130070.694821502,130070.694821502,129441.34495023,129867.949312142,129641.801373323,129036.122068088,129036.122068088,128654.628083691,130495.06666858,132126.354584475,132610.023115171,132610.023115171,129934.958510698,129212.965074364,128337.974112257,128538.460621165,128538.460621165,127707.409500576,127840.985496449,127840.985496449,130231.031324893,130824.371343016,131872.818823675,134160.467400985,130763.233281519,130763.233281519,134795.688743297,136171.468365124,137614.039966577,137600.257305655,137600.257305655,136354.608477015,135168.448844464,137983.77474155,138585.187388588,138585.187388588,136421.744103175,135164.283032051,136597.048726147,136597.048726147,136113.432345393,137462.110088757,141386.904151781,141386.904151781,143907.61889954,146735.092130384,146709.45553726,149416.192874784,149416.192874784,152448.379228051,158303.632093138,161910.560808478,159609.562336079,159609.562336079,165178.715514424,160991.537747976,165450.686338032,165450.686338032,168108.188318319,167228.868572631,167244.475657928,161735.869981066,161735.869981066,158504.035808557
